Region,Zone,Woreda,Pcode,Total Population,IDPs (Acute),Non-Displaced (Acute),TOTAL (Acute),IDPs (Moderate),Non-Displaced (Moderate),TOTAL (Moderate),Grand Total,IDP Male Children,IDP Female Children,IDP Male Adult,IDP Female Adult,IDP Male Elderly,IDP Female Elderly,IDP Male Children2,IDP Female Children2,IDP Male Adult2,IDP Female Adult2,IDP Male Elderly2,IDP Female Elderly2,ND Male Children,ND Female Children,ND Male Adult,ND Female Adult,ND Male Elderly,ND Female Elderly,ND Male Children2,ND Female Children3,ND Male Adult4,ND Female Adult5,ND Male Elderly6,ND Female Elderly7
Dire Dawa,Dire Dawa urban,Sabian,ET150103,77529.21504,0,0,0,0,775.2921504,775.2921504,775.2921504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.1536227,204.7512171,163.9504754,162.835166,18.86500132,18.73666798
Dire Dawa,Dire Dawa urban,Malka Jabti (M/jebdu),ET150104,18983.22681,0,0,0,0,189.8322681,189.8322681,189.8322681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.47724235,50.13385975,40.14369368,39.87060733,4.619143876,4.587721128
Dire Dawa,Dire Dawa urban,Legehare,ET150105,8795.444539,2755,0,2755,0,87.95444539,87.95444539,2842.954445,696,812,580,580,29,58,0,0,0,0,0,0,0,0,0,0,0,0,23.38747727,23.22837879,18.59966353,18.4731352,2.140174807,2.125615795
Dire Dawa,Dire Dawa rural,Jeldessa,ET150106,44670.82389,0,0,0,0,446.7082389,446.7082389,446.7082389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.0619474,117.6934193,94.68794495,93.59957776,10.89529141,10.77005818
Dire Dawa,Dire Dawa rural,Wahil,ET150107,33387.9958,0,0,0,0,333.879958,333.879958,333.879958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.98962349,87.96675426,70.77193642,69.95846589,8.143390074,8.04978789
Dire Dawa,Dire Dawa rural,Biyoawale,ET150108,36279.76341,0,0,0,0,362.7976341,362.7976341,362.7976341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.69710352,95.58564256,76.90156441,76.01763838,8.848697209,8.746988046
Dire Dawa,Dire Dawa urban,Addis Ketema (Dire Dawa),ET150109,152154.7062,0,0,0,0,1521.547062,1521.547062,1521.547062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404.5861147,401.8338282,321.7604667,319.57162,37.02344635,36.77158617
Dire Dawa,Dire Dawa urban,Gende Kore,ET150110,12474.90885,0,0,0,0,124.7490885,124.7490885,124.7490885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.17133612,32.94568077,26.38060033,26.20114046,3.035490192,3.014840599
Dire Dawa,Dire Dawa urban,Dechatu,ET150111O,14080.27534,0,0,0,0,140.8027534,140.8027534,140.8027534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.44007686,37.18538246,29.77545735,29.57290322,3.426120241,3.4028133
Dire Dawa,Dire Dawa urban,Hafat Issa,ET150112O,4640.392496,0,0,0,0,46.40392496,46.40392496,46.40392496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.33900954,12.2550707,9.813004754,9.746249619,1.129135778,1.121454583
Dire Dawa,Dire Dawa urban,Kazira,ET150113O,8492.330868,0,0,0,8490,2007.249525,10497.24953,10497.24953,0,0,0,0,0,0,2315,2573,1629,1715,86,172,0,0,0,0,0,0,533.7365546,530.1056937,424.4716184,421.5840564,48.84193,48.50967197
Dire Dawa,Dire Dawa urban,Police Maret,ET150114O,4569.737932,0,0,0,0,45.69737932,45.69737932,45.69737932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.15113591,12.06847513,9.663592052,9.597853331,1.11194357,1.104379328
GRAND TOTAL,,,,96527522.79,1355315,3214567.446,4569882.446,1833362,2461012.272,4294374.272,8864256.718,388668.0852,407130.8182,233337.1637,238769.6007,44187.51276,43221.81939,532474.7005,561056.4169,294582.2988,313881.6121,64992.51742,66374.45426,870104.6541,833616.0921,691979.456,662960.7223,79622.78438,76283.73673,667408.8784,636927.6257,530778.9476,506537.725,61074.20868,58284.88651
